Phase,Day,Muscle Group Focus,Exercise,Sets,Reps,Notes
Phase 1 (Weeks 1-4),Monday,Lower (Quad Focus),Hanging Leg Raises,4,15-20,Start with lower abs
Phase 1 (Weeks 1-4),Monday,Lower (Quad Focus),Abductor Machine,3,15,Warm up hips
Phase 1 (Weeks 1-4),Monday,Lower (Quad Focus),Barbell Back Squat,4,8-10,3 min rest
Phase 1 (Weeks 1-4),Monday,Lower (Quad Focus),Leg Press,4,12-15,Slow eccentric (3 sec down)
Phase 1 (Weeks 1-4),Monday,Lower (Quad Focus),Leg Extensions,4,15,Hold peak contraction 1 sec
Phase 1 (Weeks 1-4),Monday,Lower (Quad Focus),Standing Calf Raises,5,15-20,Full stretch at bottom
Phase 1 (Weeks 1-4),Tuesday,Upper (Push/Pull A),Barbell Bench Press,4,8-10,Touch chest and explode up
Phase 1 (Weeks 1-4),Tuesday,Upper (Push/Pull A),Bent Over Barbell Rows,4,8-10,Pull to lower stomach
Phase 1 (Weeks 1-4),Tuesday,Upper (Push/Pull A),Overhead Press (Dumbbell),3,10-12,Full range of motion
Phase 1 (Weeks 1-4),Tuesday,Upper (Push/Pull A),Lat Pulldowns (Wide),4,12,Pull with elbows
Phase 1 (Weeks 1-4),Tuesday,Upper (Push/Pull A),Dips,3,Failure,Add weight if over 15 reps
Phase 1 (Weeks 1-4),Tuesday,Upper (Push/Pull A),Dumbbell Bicep Curls,3,12,No swinging
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Hanging Leg Raises,4,15-20,Start with lower abs
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Abductor Machine,3,15,Warm up hips
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Conventional Deadlift,4,5-8,Reset breath every rep
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Romanian Deadlift,4,10-12,Feel the stretch in hams
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Lying Leg Curls,4,12-15,Keep hips glued to pad
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Barbell Hip Thrusts,4,10-12,2 sec hold at top
Phase 1 (Weeks 1-4),Thursday,Lower (Hams/Deadlift),Seated Calf Raises,5,15-20,High volume pump
Phase 1 (Weeks 1-4),Saturday,Upper (Push/Pull B),Incline Dumbbell Press,4,10-12,30 degree incline
Phase 1 (Weeks 1-4),Saturday,Upper (Push/Pull B),Weighted Pull-ups,4,6-8,Use belt if needed
Phase 1 (Weeks 1-4),Saturday,Upper (Push/Pull B),Seated Cable Rows,4,12,Chest up squeeze lats
Phase 1 (Weeks 1-4),Saturday,Upper (Push/Pull B),Lateral Raises,5,15,Strict form only
Phase 1 (Weeks 1-4),Saturday,Upper (Push/Pull B),Skull Crushers,3,12,Keep elbows tucked
